scene,start,end,duration
1,00:00:00.000,00:00:03.921,3.921
2,00:00:03.921,00:00:07.424,3.504
3,00:00:07.424,00:00:09.760,2.336
4,00:00:09.760,00:00:11.929,2.169
5,00:00:11.929,00:00:13.805,1.877
6,00:00:13.805,00:00:15.182,1.376
7,00:00:15.182,00:00:16.558,1.376
8,00:00:16.558,00:00:17.893,1.335
9,00:00:17.893,00:00:24.274,6.381
10,00:00:24.274,00:00:27.486,3.212
11,00:00:27.486,00:00:28.487,1.001
12,00:00:28.487,00:00:32.950,4.463
13,00:00:32.950,00:00:33.742,0.792
14,00:00:33.742,00:00:37.246,3.504
15,00:00:37.246,00:00:39.957,2.711
16,00:00:39.957,00:00:44.086,4.129
17,00:00:44.086,00:00:47.297,3.212
18,00:00:47.297,00:00:52.094,4.796
19,00:00:52.094,00:01:00.686,8.592
20,00:01:00.686,00:01:03.772,3.086
21,00:01:03.772,00:01:05.899,2.127
22,00:01:05.899,00:01:09.194,3.295
23,00:01:09.194,00:01:14.825,5.631
24,00:01:14.825,00:01:23.083,8.258
25,00:01:23.083,00:01:26.878,3.795
26,00:01:26.878,00:01:29.506,2.628
27,00:01:29.506,00:01:32.301,2.794
28,00:01:32.301,00:01:34.928,2.628
29,00:01:34.928,00:01:37.389,2.461
30,00:01:37.389,00:01:41.476,4.087
31,00:01:41.476,00:01:51.695,10.219
32,00:01:51.695,00:02:01.079,9.384
33,00:02:01.079,00:02:12.257,11.178
34,00:02:12.257,00:02:16.178,3.921
35,00:02:16.178,00:02:30.776,14.598
36,00:02:30.776,00:02:35.238,4.463
37,00:02:35.238,00:02:37.449,2.211
