Timecode List:,00:00:03.921,00:00:07.424,00:00:09.760,00:00:11.929,00:00:13.805,00:00:15.182,00:00:16.558,00:00:17.893,00:00:24.274,00:00:27.486,00:00:28.487,00:00:32.950,00:00:33.742,00:00:37.246,00:00:39.957,00:00:44.086,00:00:47.297,00:00:52.094,00:01:00.686,00:01:03.772,00:01:05.899,00:01:09.194,00:01:14.825,00:01:23.083,00:01:26.878,00:01:29.506,00:01:32.301,00:01:34.928,00:01:37.389,00:01:41.476,00:01:51.695,00:02:01.079,00:02:12.257,00:02:16.178,00:02:30.776,00:02:35.238
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,94,00:00:03.921,3.921,94,00:00:03.921,3.921
2,95,00:00:03.921,3.921,178,00:00:07.424,7.424,84,00:00:03.503,3.503
3,179,00:00:07.424,7.424,234,00:00:09.760,9.760,56,00:00:02.336,2.336
4,235,00:00:09.760,9.760,286,00:00:11.929,11.929,52,00:00:02.169,2.169
5,287,00:00:11.929,11.929,331,00:00:13.805,13.805,45,00:00:01.877,1.877
6,332,00:00:13.805,13.805,364,00:00:15.182,15.182,33,00:00:01.376,1.376
7,365,00:00:15.182,15.182,397,00:00:16.558,16.558,33,00:00:01.376,1.376
8,398,00:00:16.558,16.558,429,00:00:17.893,17.893,32,00:00:01.335,1.335
9,430,00:00:17.893,17.893,582,00:00:24.274,24.274,153,00:00:06.381,6.381
10,583,00:00:24.274,24.274,659,00:00:27.486,27.486,77,00:00:03.212,3.212
11,660,00:00:27.486,27.486,683,00:00:28.487,28.487,24,00:00:01.001,1.001
12,684,00:00:28.487,28.487,790,00:00:32.950,32.950,107,00:00:04.463,4.463
13,791,00:00:32.950,32.950,809,00:00:33.742,33.742,19,00:00:00.792,0.792
14,810,00:00:33.742,33.742,893,00:00:37.246,37.246,84,00:00:03.503,3.503
15,894,00:00:37.246,37.246,958,00:00:39.957,39.957,65,00:00:02.711,2.711
16,959,00:00:39.957,39.957,1057,00:00:44.086,44.086,99,00:00:04.129,4.129
17,1058,00:00:44.086,44.086,1134,00:00:47.297,47.297,77,00:00:03.212,3.212
18,1135,00:00:47.297,47.297,1249,00:00:52.094,52.094,115,00:00:04.796,4.796
19,1250,00:00:52.094,52.094,1455,00:01:00.686,60.686,206,00:00:08.592,8.592
20,1456,00:01:00.686,60.686,1529,00:01:03.772,63.772,74,00:00:03.086,3.086
21,1530,00:01:03.772,63.772,1580,00:01:05.899,65.899,51,00:00:02.127,2.127
22,1581,00:01:05.899,65.899,1659,00:01:09.194,69.194,79,00:00:03.295,3.295
23,1660,00:01:09.194,69.194,1794,00:01:14.825,74.825,135,00:00:05.631,5.631
24,1795,00:01:14.825,74.825,1992,00:01:23.083,83.083,198,00:00:08.258,8.258
25,1993,00:01:23.083,83.083,2083,00:01:26.878,86.878,91,00:00:03.795,3.795
26,2084,00:01:26.878,86.878,2146,00:01:29.506,89.506,63,00:00:02.628,2.628
27,2147,00:01:29.506,89.506,2213,00:01:32.301,92.301,67,00:00:02.794,2.794
28,2214,00:01:32.301,92.301,2276,00:01:34.928,94.928,63,00:00:02.628,2.628
29,2277,00:01:34.928,94.928,2335,00:01:37.389,97.389,59,00:00:02.461,2.461
30,2336,00:01:37.389,97.389,2433,00:01:41.476,101.476,98,00:00:04.087,4.087
31,2434,00:01:41.476,101.476,2678,00:01:51.695,111.695,245,00:00:10.219,10.219
32,2679,00:01:51.695,111.695,2903,00:02:01.079,121.079,225,00:00:09.384,9.384
33,2904,00:02:01.079,121.079,3171,00:02:12.257,132.257,268,00:00:11.178,11.178
34,3172,00:02:12.257,132.257,3265,00:02:16.178,136.178,94,00:00:03.921,3.921
35,3266,00:02:16.178,136.178,3615,00:02:30.776,150.776,350,00:00:14.598,14.598
36,3616,00:02:30.776,150.776,3722,00:02:35.238,155.238,107,00:00:04.463,4.463
37,3723,00:02:35.238,155.238,3775,00:02:37.449,157.449,53,00:00:02.211,2.211
